Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
ce qui	GPE	"Vous avez brisé mon coeur, et cela m'est égal ce qui arrive,""—but I don't believe it, Mamma, he"	408	Qui, Viale Lombardia 264, 20861, Brugherio, Monza e Brianza, ITA	POI	Pizza	Viale Lombardia 264	Lombardia	264	Brugherio	Monza e Brianza	Lombardia	Italia	ITA	9.301310000000058	45.557060000000035	76	
Paris	GPE	nobodies, whom Héloise would not dream of knowing in Paris; perhaps the girls there are better.	413	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Paris	GPE	! Jean is to accompany Agnès and me up to Paris to-morrow to see us safely off to Dieppe	415	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Dieppe	GPE	Paris to-morrow to see us safely off to Dieppe. I hope he won't have another fit in	415	Dieppe, Seine-Maritime, Normandie, FRA	Locality	City				Dieppe	Seine-Maritime	Normandie	France	FRA	1.0776488240000504	49.92281048000007	100	
Tournelle	GPE	very glad, for to-night we dined at Tournelle to celebrate the Baronne's birthday, and we had	420	Tournelle, Quai de la Marine, 89000, Auxerre, Yonne, Bourgogne-Franche-Comté, FRA	POI	Parking	Quai de la Marine	Marine		Auxerre	Yonne	Bourgogne-Franche-Comté	France	FRA	3.574390000000051	47.80079000000006	100	
Paris	GPE	us, and about three or four more people from Paris, so we were quite a large party. Everybody	420	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
red guttapercha	GPE	"she wears ""plumpers,"" of a kind of red guttapercha, to keep her face nice and round, and"	421	Guttapercha Creek, Queensland, AUS	POI	Stream						Queensland	Australia	AUS	142.5000000000001	-17.666669999999954	75.88	
sur	GPE	"exclaimed, ""Mais, monsieur! ce n'est pas sur ce doigt que vous devez mettre la bague!"""	430	SUR	Locality	Country							Republic of Suriname	SUR	-56.01360780899995	3.9317774090000626	100	
mais vous êtes beaucoup trop	GPE	"nous. J'ai envie de vous faire la cour, mais vous êtes beaucoup trop dangereuse pour le moment."""	434	Trop, BEL	Locality	City				Trop	Brabant Wallon	Wallonia	België	BEL	4.139860000000056	50.72673000000003	70	
London	GPE	this, as I shall only sleep the night in London at Aunt Mary's.—With love from your affectionate daughter, Elizabeth	437	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
china	GPE	, is really fine, with beautiful old furniture and china; only everything within reach is scratched and spoilt by	446	China	Locality	Country							China	CHN	103.93002703300004	36.567348398000036	100	
England	GPE	it; besides, she had the best chef in England, and anyway it was a nice change for people	449	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
England	GPE	"to me? I give 'em the best dinner in England, and they must settle the rest themselves!"""	453	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
